date,ad_male,yearling_male,ad_female,yearling_female,yearling,calf,unknown,ids,collars,total
7/1/2016,0,0,2,3,NA,4,0,NA,0,9
7/1/2016,0,0,0,1,NA,0,0,NA,0,1
7/1/2016,0,0,0,2,NA,0,0,NA,0,2
7/1/2016,1,0,0,1,NA,0,0,NA,0,2
7/1/2016,0,0,1,0,NA,0,0,FO2016015,1,1
7/1/2016,0,0,1,0,NA,1,0,NA,0,2
7/1/2016,0,0,3,3,NA,3,0,FO2016003 & FO2016004,2,9
6/2/2016,0,0,3,0,NA,2,0,FO2016001,1,5
6/2/2016,1,0,1,0,NA,0,0,FO2016011,1,2
7/2/2016,0,0,0,1,NA,0,0,NA,0,1
7/2/2016,0,0,0,3,NA,0,0,NA,0,3
7/2/2016,0,0,0,2,NA,0,0,NA,0,2
7/2/2016,0,0,0,1,NA,0,0,NA,0,1
6/3/2016,1,0,0,0,NA,0,0,NA,0,1
6/3/2016,0,0,0,1,NA,0,0,NA,0,1
8/6/2016,0,0,1,0,NA,0,0,FO2016001,1,1
8/6/2016,0,0,1,0,NA,1,0,,0,2
8/6/2016,0,0,1,0,NA,1,0,FO2016010 & ,1,2
8/6/2016,0,0,2,0,NA,2,0,,0,4
8/6/2016,0,0,1,0,NA,1,0,FO2016012,1,2
5/7/2016,1,0,7,0,NA,2,0,FO2016010,1,10
5/7/2016,0,0,0,0,NA,0,31,FO2016006,1,31
6/7/2016,1,0,2,1,NA,0,0,NA,0,4
6/7/2016,0,0,1,0,NA,1,0,NA,0,2
8/7/2016,0,0,5,0,NA,4,0,FO2016014,1,9
5/8/2016,0,0,8,0,NA,2,0,FO2016010,1,10
6/8/2016,0,0,0,1,NA,0,0,NA,0,1
8/8/2016,0,0,2,0,NA,1,0,FO2016015,1,3
8/8/2016,0,0,2,0,NA,1,0,NA,0,3
8/8/2016,0,0,2,0,NA,2,4,NA,0,8
6/10/2016,1,0,0,0,NA,0,0,NA,0,1
6/10/2016,0,0,0,1,NA,0,0,NA,0,1
6/10/2016,0,0,0,1,NA,1,0,FO2016003,1,2
10/12/2016,0,0,2,1,NA,0,0,FO2016010,1,3
6/11/2016,0,0,0,1,NA,0,0,FO2016004,1,1
6/11/2016,0,0,0,0,NA,1,0,NA,0,1
6/11/2016,0,0,1,3,NA,0,0,FO2016002,1,4
6/11/2016,0,0,1,0,NA,0,0,FO2016002,1,1
6/11/2016,0,0,3,4,NA,3,0,FO2016010 & ,1,10
6/11/2016,1,0,0,0,NA,0,0,NA,0,1
6/11/2016,0,0,0,0,NA,0,2,NA,0,2
6/11/2016,0,0,0,1,NA,0,0,NA,0,1
6/11/2016,0,0,0,0,NA,0,1,NA,0,1
12/2/2016,0,0,6,4,NA,0,0,FO2016012,1,10
12/2/2016,0,0,6,4,NA,0,0,FO2016015,1,10
12/3/2016,0,0,2,0,NA,0,0,FO2016006,1,2
12/3/2016,0,0,3,0,NA,0,0,FO2016010,1,3
12/3/2016,0,0,3,0,NA,0,0,FO2016008,1,3
6/12/2016,0,0,1,0,NA,1,0,NA,0,2
6/12/2016,0,0,0,1,NA,0,0,NA,0,1
6/12/2016,0,0,0,0,NA,0,1,NA,0,1
8/12/2016,0,0,1,0,NA,1,0,NA,0,2
8/12/2016,1,0,2,0,NA,0,0,FO2016015,1,3
8/12/2016,0,0,0,0,NA,0,1,NA,0,1
8/12/2016,0,0,1,0,NA,0,0,NA,0,1
6/14/2016,0,0,0,0,NA,0,1,NA,0,1
7/15/2016,0,0,1,1,NA,1,0,FO2016003,1,3
7/15/2016,0,0,1,0,NA,1,0,FO2016004,1,2
7/15/2016,0,0,1,0,NA,0,0,FO2016005,1,1
7/15/2016,0,2,0,0,NA,0,0,NA,0,2
8/15/2016,0,0,1,0,NA,0,0,NA,0,1
8/15/2016,0,0,1,0,NA,1,0,NA,0,2
6/16/2016,0,0,0,1,NA,0,0,NA,0,1
6/16/2016,0,0,0,1,NA,0,0,NA,0,1
6/16/2016,0,0,1,0,NA,0,0,FO2016014,1,1
6/16/2016,0,0,1,0,NA,0,0,FO2016015,1,1
6/16/2016,1,0,0,0,NA,0,0,NA,0,1
6/16/2016,0,0,1,0,NA,0,0,FO2016009,1,1
6/16/2016,0,0,1,3,NA,1,0,FO2016010 & ,1,5
6/16/2016,0,0,6,0,NA,6,0,,0,12
6/16/2016,0,0,1,1,NA,1,0,NA,0,3
6/16/2016,0,0,1,0,NA,1,0,NA,0,2
7/16/2016,0,0,1,0,NA,1,0,NA,0,2
7/16/2016,0,0,4,0,NA,2,3,FO2016008 & FO2016012,2,9
7/16/2016,0,0,1,0,NA,1,0,NA,0,2
8/16/2016,0,0,0,1,NA,0,0,NA,0,1
6/17/2016,0,0,0,3,NA,0,0,NA,0,3
6/17/2016,0,0,0,0,NA,0,0,NA,0,0
7/17/2016,0,0,0,1,NA,0,0,NA,0,1
8/17/2016,0,0,0,1,NA,0,0,NA,0,1
6/18/2016,0,0,0,0,NA,0,0,NA,0,0
6/18/2016,0,0,1,0,NA,0,0,FO2016012,1,1
6/18/2016,0,0,0,0,NA,0,1,NA,0,1
6/18/2016,0,0,0,1,NA,0,0,NA,0,1
6/18/2016,0,0,1,0,NA,0,0,NA,0,1
7/18/2016,0,0,0,0,NA,0,1,NA,0,1
7/18/2016,0,0,0,0,NA,0,1,NA,0,1
7/18/2016,0,0,0,0,NA,0,3,NA,0,3
7/18/2016,0,0,1,0,NA,0,0,NA,0,1
7/18/2016,0,0,0,1,NA,0,0,NA,0,1
7/18/2016,0,0,0,0,NA,0,1,NA,0,1
7/18/2016,0,1,0,2,NA,0,0,NA,0,3
8/18/2016,0,0,0,3,NA,0,0,NA,0,3
6/19/2016,0,0,1,0,NA,0,0,NA,0,1
6/19/2016,0,0,2,2,NA,0,0,NA,0,4
6/19/2016,0,0,1,0,NA,0,0,FO2016001,1,1
6/19/2016,0,1,0,0,NA,0,0,NA,0,1
6/19/2016,1,0,0,0,NA,0,0,NA,0,1
8/19/2016,0,0,0,1,NA,0,0,NA,0,1
8/19/2016,0,0,1,0,NA,1,0,FO2016004,1,2
8/19/2016,0,0,1,0,NA,0,0,FO2016005,1,1
6/20/2016,1,0,1,0,NA,0,0,NA,0,2
6/20/2016,0,1,0,0,NA,0,0,NA,0,1
6/20/2016,0,0,1,0,NA,0,0,NA,0,1
