model,term,beta,min_beta,max_beta
fire,sl,0.316796,0.316796,0.316796
fire,forest,0.763456,0.763456,0.763456
fire,dist_new,-0.065618,-0.065618,-0.065618
fire,dist_old,0.023413,0.023413,0.023413
fire,forest:alone,0.719033,0.459989,0.978077
fire,dist_new:dyad,-0.12032,-0.240086,-0.000554
fire,dist_old:dyad,-0.016986,-0.14748,0.113508
fire,sl:forest,-0.278828,-0.278828,-0.278828
fire,sl:dist_new,0.006571,0.006571,0.006571
fire,sl:dist_old,-0.025328,-0.025328,-0.025328
road,sl,0.44515,0.44515,0.44515
road,forest,0.87392,0.87392,0.87392
road,dist_tch,2.10887,2.10887,2.10887
road,dist_minor,0.19497,0.19497,0.19497
road,forest:alone,0.68487,0.42537,0.94437
road,dist_tch:dyad,-0.47487,-1.59369,0.64395
road,dist_minor_dyad,0.3187,-0.0745,0.7119
road,sl:forest,-0.29053,-0.29053,-0.29053
road,sl:dist_tch,-0.06906,-0.06906,-0.06906
road,sl:dist_minor,0.04187,0.04187,0.04187
